ID,Tipo de Dispositivo,Marca,Precio,Calificación,Fecha de Lanzamiento
1,Smartwatch,Marca C,1500,1.5,2022-04-28
2,Headphones,Marca D,1471,3.9,2021-11-03
3,Smartphone,Marca E,268,1.1,2020-06-06
4,Monitor,Marca B,904,4.0,2020-08-11
5,Monitor,Marca C,276,1.4,2023-03-05
6,Monitor,Marca D,1661,1.9,2021-10-18
7,Laptop,Marca B,423,4.0,2022-09-22
8,Monitor,Marca C,1995,3.9,2020-10-14
9,Headphones,Marca B,608,1.2,2024-04-03
10,Tablet,Marca E,903,1.8,2020-12-14
11,Smartwatch,Marca C,1238,2.1,2024-04-24
12,Smartphone,Marca D,1922,3.7,2022-03-19
13,Smartphone,Marca A,1153,1.3,2023-05-31
14,Smartwatch,Marca D,1877,3.2,2022-09-29
15,Tablet,Marca C,1413,1.0,2019-11-22
16,Laptop,Marca D,246,4.3,2021-04-16
17,Smartphone,Marca A,1397,4.9,2021-12-09
18,Laptop,Marca A,321,3.8,2021-10-23
19,Headphones,Marca A,440,1.7,2024-02-04
20,Laptop,Marca D,609,3.0,2021-11-28
21,Headphones,Marca C,614,3.3,2021-05-01
22,Smartphone,Marca D,169,4.2,2024-04-13
23,Laptop,Marca A,1481,3.4,2020-10-31
24,Smartwatch,Marca E,1008,1.9,2021-09-01
25,Monitor,Marca A,656,2.8,2022-10-04
26,Smartphone,Marca A,985,4.5,2023-06-07
27,Monitor,Marca C,865,3.0,2023-03-27
28,Headphones,Marca D,1446,3.9,2022-04-19
29,Smartphone,Marca C,1747,2.9,2023-03-01
30,Tablet,Marca D,191,3.8,2020-04-19
31,Monitor,Marca A,1465,3.0,2021-11-18
32,Smartphone,Marca A,523,4.4,2021-09-22
33,Laptop,Marca A,1675,1.8,2019-10-10
34,Monitor,Marca D,1786,4.1,2022-04-02
35,Headphones,Marca A,1538,4.9,2021-08-19
36,Monitor,Marca C,1781,4.4,2023-06-03
37,Monitor,Marca C,810,4.1,2021-03-24
38,Smartphone,Marca A,1067,4.9,2022-09-12
39,Laptop,Marca E,374,4.0,2019-12-28
40,Laptop,Marca D,960,1.0,2023-12-12
41,Laptop,Marca E,143,2.1,2021-05-15
42,Smartphone,Marca A,1207,2.6,2022-09-27
43,Tablet,Marca E,533,2.7,2024-01-28
44,Smartwatch,Marca D,909,2.2,2022-03-13
45,Monitor,Marca D,193,2.6,2021-09-04
46,Monitor,Marca E,1298,1.5,2023-03-26
47,Tablet,Marca B,1529,4.9,2022-09-01
48,Smartwatch,Marca D,301,2.6,2022-08-20
49,Tablet,Marca A,1981,3.3,2020-01-14
50,Smartphone,Marca A,598,2.4,2022-06-11
51,Smartphone,Marca A,580,4.2,2021-11-20
52,Smartwatch,Marca B,429,2.6,2020-03-16
